,stn_code,latitude,longitude
0,NS1,1.333152816,103.7422863
1,NS2,1.349033312,103.7495665
2,NS3,1.344587945,103.682758
3,NS4,1.385363165,103.7443708
4,NS5,1.397535069,103.7474052
5,NS7,1.425086981,103.7621375
6,NS8,1.432521149,103.7740746
7,NS9,1.43681963,103.7860668
8,NS10,1.440588562,103.8009905
9,NS11,1.449050822,103.8200461
10,NS12,1.443076641,103.8297026
11,NS13,1.429443085,103.835005
12,NS14,1.41738337,103.8329799
13,NS15,1.381755871,103.8449473
14,NS16,1.36993285,103.8495581
15,NS17,1.350838988,103.848144
16,NS18,1.340469001,103.8467991
17,NS19,1.332629281,103.8475022
18,NS20,1.320440791,103.8438256
19,NS21,1.312318922,103.8379846
20,NS22,1.303980137,103.8322452
21,NS23,1.300264167,103.8390858
22,NS24,1.298701325,103.8461137
23,NS25,1.292936722,103.8525856
24,NS26,1.28412561,103.8514617
25,NS27,1.276410299,103.8545955
26,NS28,1.271027036,103.8624475
27,EW1,1.298560884,103.7707587
28,EW2,1.353301676,103.9451446
29,EW3,1.343197079,103.9533772
30,EW4,1.327187291,103.9463486
31,EW5,1.323979969,103.9299845
32,EW6,1.321038134,103.9129479
33,EW7,1.319783549,103.9032258
34,EW8,1.318111492,103.8930608
35,EW9,1.316432612,103.882906
36,EW10,1.31148891,103.8713865
37,EW11,1.307377817,103.8627676
38,EW12,1.300465085,103.8557067
39,EW13,1.292936722,103.8525856
40,EW14,1.28412561,103.8514617
41,EW15,1.276561317,103.8457252
42,EW16,1.281405048,103.839131
43,EW17,1.286102536,103.8274451
44,EW18,1.289634534,103.816741
45,EW19,1.294550852,103.8060772
46,EW20,1.302501999,103.7982285
47,EW21,1.307223708,103.7902535
48,EW22,1.311405293,103.7786378
49,EW23,1.315116253,103.7651915
50,EW24,1.333152816,103.7422863
51,EW25,1.342352821,103.7325967
52,EW26,1.344259115,103.7209491
53,EW27,1.338604055,103.7060646
54,EW28,1.337587011,103.6973216
55,EW29,1.327717041,103.678375
56,EW30,1.319470901,103.6605305
57,EW31,1.321026956,103.6490782
58,EW32,1.329985047,103.6396166
59,EW33,1.340882425,103.6369914
60,CG1,1.334549778,103.9615482
61,CG2,1.357478974,103.9878836
62,NE1,1.265389384,103.8215302
63,NE3,1.279720594,103.8394399
64,NE4,1.284359593,103.8434267
65,NE5,1.288386024,103.8465552
66,NE6,1.299704581,103.8454885
67,NE7,1.306800197,103.8496471
68,NE8,1.311905573,103.8534777
69,NE9,1.319335709,103.8615695
70,NE10,1.33137949,103.8690557
71,NE11,1.339190045,103.8708183
72,NE12,1.349707881,103.8735748
73,NE13,1.360179171,103.8850649
74,NE14,1.371292266,103.8923805
75,NE15,1.38287002,103.8931226
76,NE16,1.391694626,103.8954847
77,NE17,1.404546537,103.9020726
78,CC1,1.298911644,103.8462925
79,CC2,1.296861686,103.8506674
80,CC3,1.293657725,103.8550812
81,CC4,1.293997986,103.86035
82,CC5,1.299766847,103.863637
83,CC6,1.302812468,103.8753377
